federation_code,first_name,last_name,no,nationality,gender
JPN,Akihiko,Matsuda,100234,,0
JPN,Kenichi,Sakakura,100235,,0
USA,Rudy,Dvorak,100236,,0
JPN,Masafumi,Oura,100237,,0
JPN,Koichi,Kijima,100238,,0
JPN,"Yasunori ""Kuma""",Kumada,100239,,0
JPN,Masaji,Ogino,100240,,0
JPN,Hiroyuki,Yoneyama,100241,,0
GER,Lars-Bjorn,Freier,100242,,0
ARG,Fabio,Perez,100244,,0
CHI,Ricardo,Vorpahl,100245,,0
GER,Ariane,Radfan,100246,,1
USA,"Scott ""Freddy""",Friederichsen,100247,,0
BRA,"Jacqueline Louise ""Jackie""",Cruz Silva,100250,,1
AUS,"Natalie ""Nat""",Cook,100251,,1
BRA,Mônica,Rodrigues,100252,,1
BRA,Adriana,Samuel Ramos,100253,,1
BRA,Maria Isabel,Barroso Salgado,100254,,1
BRA,Magda Rejane,Lima Falcão De,100255,,1
BRA,Adriana,Brandão Behar,100256,,1
BRA,Karina,Lins e Silva,100257,,1
BRA,Sandra,Pires Tavares,100258,,1
BRA,Sheila Maria,da Rocha Antony de Sou,100259,,1
BRA,Sandra Maria,da Rocha Antony de Moraes,100260,,1
BRA,Claudia,Glaser Lupion,100261,,1
BRA,Gerusa,Ferreira De Jesus Da Costa,100262,,1
CUB,Lazara,Martinez,100263,,1
ENG,"Amanda Jane ""Mo""",Glover,100264,,1
JPN,Maya,Hashimoto,100265,,1
JPN,Ryoko or Ryo,Kirinoe,100266,,1
MEX,Laura,Almaral Palafox,100267,,1
MEX,Velia,Eguiluz Soto,100268,,1
NED,Simone,Kooy,100269,,1
NED,"Claire Patricia ""Klep""",Paterson,100270,,1
NED,Lilian or Lil,Crielaard,100271,,1
NED,Heleen,Crielaard,100272,,1
USA,Barbra,Fontana,100273,,1
USA,Lori,Forsythe,100274,,1
CRC,Joaquin,Arguedas Morera,100277,,0
CRC,Luis,Sandoval Vagas,100278,,0
BRA,"Carlos Frederico ""Alemão""",Galletti,100280,,0
BRA,Andrè,Faria Gomes,100281,,0
RUS,Vladimir,Bouralev,100282,,0
RUS,Mikhail,Bouralev,100283,,0
AUT,"Thomas ""Tom""",Schroffenegger,100286,,0
CAN,"Becki ""Buckwheat""",Rose Lynn,100288,,1
CAN,Frank,Blasi,100289,,0
DEN,Ole,Lachenmeier,100290,,0
ENG,Vince,Joyce,100291,,0
ENG,Robert Joseph,Kittlety,100292,,0
ENG,...,Gruber,100293,,1
JPN,"Teruko ""Peko""",Nakano,100294,,1
LTU,Audruis,Petrenas,100296,,0
LTU,Vytautas,Dailide,100297,,0
NED,Rob,Lantsheer,100298,,0
NED,Quinteen,Van der Vrie,100299,,0
NOR,"Are Kristofer ""Kris""",Hjeltnes,100301,,0
NOR,Jorre André,Kjemperud,100302,,0
PUR,"Carlos ""Monkey""",Nieves,100303,,0
SWE,Tom,Englen,100305,,0
SWE,"Fredrik ""Figge""",Petersson,100306,,0
SUI,"Marco ""Bonner""",Bonaria,100307,,0
VEN,"Pedro Enrique ""Tapita""",Tapia Palacios,100308,,0
VEN,José Richard,Pastor,100309,,0
USA,"Elaine ""E""",Roque,100310,,1
USA,Gail,Castro,100311,,1
USA,"Debra ""Deb""",Richardson,100312,,1
USA,"Gayle ""Hammer""",Stammer,100313,,1
USA,Nancy,Cothron,100314,,1
USA,Barbara or Barb,Bierman,100315,,1
USA,"Carlos ""Los""",Briceno,100316,,0
USA,Patty,Dodd,100318,,1
USA,Linda,Hanley,100319,,1
USA,Rita,Crockett Royster,100321,,1
USA,Craig,Adamoli,100322,,0
USA,Jeff,Williams,100323,,0
USA,Thomas,Duke,100324,,0
USA,Dan,Greenbaum,100325,,0
CHI,Marcela,Becerra,100326,,1
USA,"Marc ""Jonesy""",Jones,100327,,0
USA,"Emmanuel ""Manny""",Agnant,100328,,0
USA,Ken,Engels,100329,,0
USA,"Luis ""Fenito""",Rodriguez,100330,,0
