code,name,start_date,end_date,no,version
BVB-KIS2018,Kish Island,2018-02-20,2018-02-24,562,8939.0
BVB-FTL2018,Fort Lauderdale Major,2018-02-27,2018-03-04,563,9712.0
BVB-DOH2018,Doha,2018-03-06,2018-03-10,564,8661.0
BVB-OMA2018,Oman,2018-03-14,2018-03-17,565,8591.0
BVB-AAL2018,Aalsmeer,2018-03-15,2018-03-18,566,8789.0
BVB-SAT2018A,Satun,2018-04-08,2018-04-11,567,8791.0
BVB-XIA2018,Xiamen,2018-04-18,2018-04-22,568,9124.0
BVB-KOC2018,Kochi,2018-08-02,2018-08-05,569,8301.0
BVB-LAN2018,Langkawi,2018-04-26,2018-04-29,570,8982.0
BVB-MER2018,Mersin,2018-05-02,2018-05-06,571,9031.0
BVB-USA2018,USA,2018-05-01,2018-05-06,572,9055.0
BVB-MAN2018,Manila,2018-05-03,2018-05-06,573,8943.0
BVB-NAN2018,Nanjing,2018-06-14,2018-06-17,574,9155.0
BVB-LUC2018,Lucerne,2018-05-09,2018-05-13,575,9057.0
BVB-QUA2018,Tuan Chau Island,2018-05-09,2018-05-12,576,8966.0
BVB-BAN2018,Bangkok,2018-05-10,2018-05-13,577,9065.0
BVB-RIO2018,Itapema,2018-05-16,2018-05-20,578,9084.0
BVB-AYD2018,Aydin,2018-05-17,2018-05-20,579,9141.0
BVB-YAN2018,Yangzhou,2018-10-10,2018-10-14,580,9527.0
BVB-CRO2018,Croatia (Cancelled),2018-05-29,2018-06-04,581,8369.0
BVB-JIN2018,Jinjiang,2018-05-31,2018-06-03,582,9131.0
BVB-MON2018,Monaco (cancelled),2018-06-14,2018-06-17,583,8549.0
BVB-OST2018,Ostrava,2018-06-20,2018-06-24,584,9196.0
BVB-AGA2018,Agadir,2018-07-26,2018-07-29,585,9258.0
BVB-SIN2018,Singapore,2018-06-21,2018-06-24,586,9187.0
BVB-POL2018,Warsaw,2018-06-27,2018-06-30,587,9266.0
BVB-ALA2018,Alanya,2018-05-31,2018-06-03,588,9081.0
BVB-ESP2018,Espinho,2018-07-04,2018-07-08,589,9243.0
BVB-GST2018,Gstaad,2018-07-10,2018-07-15,590,9254.0
BVB-DAE2018,Daegu,2018-07-12,2018-07-15,591,9244.0
BVB-ULS2018,Ulsan,2018-07-19,2018-07-22,592,9245.0
BVB-TOK2018,Tokyo,2018-07-25,2018-07-29,593,9328.0
BVB-SAM2018,Samsun,2018-07-26,2018-07-29,594,9314.0
BVB-VIE2018,Vienna,2018-07-31,2018-08-05,595,11989.0
BVB-MOS2018,Moscow,2018-08-08,2018-08-12,596,9420.0
BVB-SSF2018,World Tour Finals 2018,2018-08-14,2018-08-19,597,9435.0
BVB-NAT2018,Nantong,2018-06-07,2018-06-10,598,9145.0
BVB-U192018,Under 19 Beach World Championship,2018-07-10,2018-07-15,599,9264.0
BVB-MIG2018,Miguel Pereira,2018-05-24,2018-05-27,600,9086.0
CEV-CZE2018,CEV Pelhrimov Masters,2018-01-11,2018-01-14,602,8412.0
BVB-CAM2018,Phnom Penh,2018-05-03,2018-05-06,605,9010.0
BVB-BAD2018,Baden Open,2018-06-14,2018-06-17,648,9181.0
BVB-VAD2018,Vaduz,2018-08-08,2018-08-12,649,9376.0
BVB-ANP2018,Anapa,2018-07-05,2018-07-08,650,9139.0
BVB-LJU2018,Ljubljana,2018-08-03,2018-08-05,651,9317.0
BVB-MAG2018,Manavgat,2018-06-21,2018-06-24,652,9143.0
BVB-YOG2018,2018 Buenos Aires Youth Olympic Games,2018-10-07,2018-10-17,653,9522.0
CEV-GOT2018,2018 CEV Beach Volleyball Satellite Göteborg,2018-03-29,2018-04-01,654,8855.0
BVB-GLDCO2018,2018 GOLD COST COMMONWEALTH GAMES,2018-04-06,2018-04-12,655,8903.0
BVB-HAI2018,Haiyang,2018-07-18,2018-07-22,656,9269.0
BVB-POR2018,Porec,2018-07-05,2018-07-08,661,9238.0
CEV-BVB-YCC2018,CEV Youth Continental Cup Final - Baden,2018-06-08,2018-06-10,664,9172.0
BVB-SIF2018,Siofok,2018-08-23,2018-08-26,665,9446.0
BVB-MNP2018,Montpellier,2018-08-28,2018-09-01,666,9460.0
BVB-QIN2018,Qinzhou,2018-09-30,2018-10-04,667,9503.0
CEV-BVB-U202018,2018 CEV U20 Beach Volleyball European Championship,2018-06-28,2018-07-01,668,1.0
WUC2018,2018 WUC Beach Volleyball,2018-07-09,2018-07-13,671,1.0
CEV-BVB-ECH2018,2018 CEV DELA Beach Volleyball European Championship - The Netherlands,2018-07-15,2018-07-22,672,9312.0
BVB-ZHO2018,Zhongwei ,2018-09-13,2018-09-16,674,9456.0
BVB-TOR2018,Bandar Torkaman ,2018-10-02,2018-10-05,675,9525.0
BVB-BAB2018,Babolsar,2018-10-09,2018-10-12,676,9528.0
BVB-ANZ2018,Bandar Anzali,2018-10-16,2018-10-19,677,9549.0
BVB-LAS2018,Las Vegas,2018-10-17,2018-10-21,679,9605.0
BVB-CHE2018,Chetumal,2018-10-24,2018-10-28,680,9619.0
BVB-HAG2019,The Hague,2019-01-02,2019-01-06,684,10581.0
BVB-VIS2019,Visakhapatnam ,2019-02-28,2019-03-03,685,9981.0
BVB-FTL2019,Fort Lauderdale (Cancelled) ,2019-02-05,2019-02-10,686,9733.0
BVB-FLO2019,Florida (Cancelled) ,2019-02-13,2019-02-17,687,9723.0
BVB-PHN2019,Phnom Penh,2019-02-21,2019-02-24,688,10169.0
BVB-SAN2019,Sand (Cancelled),2019-02-21,2019-02-24,689,9744.0
BVB-SYD2019,Sydney ,2019-03-06,2019-03-10,690,10271.0
BVB-KGS2019,Kg Speu,2019-03-07,2019-03-10,691,10049.0
BVB-DOH2019,Doha,2019-03-12,2019-03-16,692,10031.0
BVB-TEX2019,Texas (Cancelled) ,2019-03-20,2019-03-24,693,9724.0
BVB-SIE2019,Siem Reap,2019-03-21,2019-03-24,694,9989.0
BVB-MIG2019,Miguel Pereira,2019-08-08,2019-08-11,695,10764.0
BVB-BAT2019,Battambang,2019-04-04,2019-04-07,696,10070.0
BVB-SAT2019,Satun,2019-04-08,2019-04-11,697,10063.0
BVB-LAN2019,Langkawi,2019-04-11,2019-04-14,698,10167.0
BVB-GOT2019,Göteborg,2019-04-18,2019-04-21,699,10914.0
BVB-XIA2019,Xiamen,2019-04-24,2019-04-28,700,10187.0
BVB-BAN2019,Bangkok,2019-04-25,2019-04-28,701,9919.0
BVB-KUA2019,"Kuala Lumpur, Malaysia ",2019-04-30,2019-05-04,702,10227.0
BVB-LUC2019,Lucern (CANCELED),2019-05-08,2019-05-12,703,9705.0
BVB-LOS2019,Los Angeles (Cancelled) ,2019-05-08,2019-05-12,704,9725.0
