name,no
Emanuel/Ricardo,322
Maia/Brenha,323
Pará/Jan,324
Alvarez/Munder,325
Schacht/Slack,326
Kais Kr./Vesik,327
Canet/Hamel,328
Deulofeu/Salvetti,329
Berg /Brinkborg,330
Hoidalen/Goranson K.,331
Huseby/Hellum,332
Lione/Varnier,333
Luna/Lario,334
Kouchnerev/Makhortov,335
Doppler/Gartmayer,336
Cadieux/Heese,337
Harley/Pedro Solberg,338
Kavalenka/Zharykau,339
Indra/Wachter,340
Heuscher/Heyer,341
Pedrosa/Rosas,342
Hernandez Colina/Henriquez,343
Amore/Bizzotto,344
Magnusson M./Svensson R.,345
Barsuk/Kolodinskiy,346
Boersma E./Ronnes,347
Nausch/Müller R.,348
Gosch/Horst,349
Kobbevik/Engebretsen,350
"Soderberg/Hoyer, A.",351
Ottosson/Östberg,352
Michalopoulos/Xenakis,353
"Woxlin/Andersson, Dan.",354
Klemperer/Koreng,355
Reckermann/Urbatzka,356
Herrera/Mesa,357
Biza/Lebl,358
Matysik/Uhmann,359
Zabuslayev/Sidorenko,360
Holtan/Wergeland,361
Arkaev/Kuzmichev,362
Arkaev/Bogatov,363
Leite/Hordvik,364
Schnider/Laciga M.,365
Gunnarsson/Christiansson,366
Gooding/Bowes,367
"Hakala, L./Keskitalo",368
Karpukhin/Karasev,369
Nishimura/Morikawa,370
Asahi/Shiratori,371
Richardson/Kapa,372
Xu/Wu,373
Huth/Schneider K.,374
Koshkarev/Prokopiev,375
Podstawka/Simek,376
Smedins T./Smedins,377
Fabio Luiz/Marcio Araujo,378
Binstock/J.Kruger,379
De Gruijter/Ronnes,380
Gabathuler/Wenger,381
Saulko/Rovkin,382
Mussa/Henriquez,383
Samoilovs/Plavins,384
Hakala/Kankaanpää,385
Hupfer/Schroffenegger P.,386
Boehm/Feuerriegel,387
Virgen/Miramontes,388
Van Huizen/Leinemann,389
Chiya/Rorich,390
Lochhead/Pitman,391
Gustafson/Eriksson,392
Tähjänjoki/Ikäheimonen,393
Bruno/Benjamin,394
Lulla/Murs,395
Dugrip/Gagliano,396
"Jonsson, P./Jonsson",397
Cès A./Cès K.,398
Heiskanen/Säisä,399
Freidenfelds/Freidenfelds,400
Schuil/Nummerdor,401
Lelliott/Reader,402
Bernardo/Alison,403
Zhou/Li,404
Geor/Gia,405
Kulinich/Dyachenko,406
Petrov/Povjakel,407
Dudikoff/Jaceon,408
