name,no
Larcher/Privat,940152
Christine A./Lopes,940153
"Andrys, R./Andrys, A.",940154
Cameron/Vincent,940155
Karvatskyi/Didyk,940156
Colombi/Breidenbach,940157
Valenciano/Monge,940159
Tato/Pepe,940160
Encarnacion/Ribas,940161
Nurminen/Siren,940162
Shindo/Onodera,940163
Taira/Kojima,940164
Legieta/Kaczmarek,940165
Kujawiak/Paszkowski,940166
Kviecinsky/Nano,940167
Preiml/Gschöpf,940168
Corcoz/Sandu,940169
Dybfest/Løvli,940170
Beattie/Coutts,940171
Gamlemoen/Helland,940172
"Friedl/Pfeffer, E.",940173
POZZATI/BUSCAROLI,940174
Klasnic/Komar,940175
Niopas/Danas,940176
Soton/LE PELLEY,940177
Zamord/ALAMELOU,940178
Joyner/Honer,940179
Wopat/Quiggle,940180
Nourse A./Nourse N. ,940181
Dykstra/Wheeler,940182
Oláh/Stréli,940183
Hajós/Benkö,940184
Burnett/Guehrer,940185
McHugh/Schubert,940186
Durant/Schumann,940187
Sowa/Stadie,940188
Blom/Penninga,940189
"Lovsin, N./Skarlovnik",940190
Jancar/Kotnik,940191
Jiménez/Moreno,940192
Pérez/Sanfélix,940193
Moen/Mohajer,940194
Ioannidis/Kourtidis,940195
Gustavs/Gleb,940196
Gabdullins/Samoilovs M.,940197
"Pokeršnik, D./Plahutnik",940198
Berk/Novak,940199
Greber/Hübscher,940201
Brailko/Namike,940202
Rinkevics/Stankevics,940203
"Erpic, U./Primec",940204
Jakopin/Bedrac,940205
Bedritis/Bergis,940206
García L/García Oujo,940207
Kosir/Tomazin,940208
Czene/Harmat,940209
ROTA/BUSCA,940210
"Luca/Allegretti, J.",940211
Rosager/Brinck,940212
Liliana/Elsa,940213
Liliana/Elsa,940214
Liliana/Elsa,940215
Liliana/Elsa,940216
Liliana/Elsa,940217
Liliana/Elsa,940218
Liliana/Elsa,940219
Liliana/Elsa,940220
Liliana/Elsa,940221
Liliana/Elsa,940222
Liliana/Elsa,940223
Liliana/Elsa,940224
Liliana/Elsa,940225
Liliana/Elsa,940226
Liliana/Elsa,940227
Liliana/Elsa,940228
Liliana/Elsa,940229
Liliana/Elsa,940230
Liliana/Elsa,940231
Liliana/Elsa,940232
Liliana/Elsa,940233
Liliana/Elsa,940234
Nusbaum/Plantinga,940235
House/Turner,940236
Soós/Rozgonyi,940237
Czene/Katona,940238
Dziadkou/Piatrushka,940239
"Makhno, In./Makhno, Ir.",940240
Lunina/Hladun,940241
Kuleshov/Petrossyants,940242
Dmitriyev/Tsykunov,940243
Grut/Zemljak,940244
Rakusov/Bogatov,940245
Florian/Bouza,940246
Påhlsson/Rådström,940247
"Baldauf/Reiter, J.",940248
Sekerci/Urlu,940249
Jercic/Storc,940250
Pribanic/Gracin,940251
Rosko/Ovcina,940252
"Hofman/Nijeboer, T.",940253
Sondergard/Windeleff,940254
Dostalova A./Knoblochova,940255
Dulai/Grünvald,940256
Angelova/Mishonova,940257
Czene/Tátrai,940258
Vitkauskaite/Andriukaityte,940259
Mehedinteanu/Farcas,940260
Nishimura/Yokomori,940261
Hata/Kitagawa,940262
Tsuchiya/Hatabe,940263
Nishimura/Dogi,940264
Shiratori/Momo,940265
Murakami/Kurasaka,940266
Ageba/Nagai,940267
Taira/Koshikawa,940268
Onodera/Shibata,940269
Shoji/Ikeda,940270
KAI/Sato,940271
Toyoda/Sato,940272
Shindo/Harada,940273
Watanabe/Inoue,940274
Yoshida/Wada,940275
Umeno/Dogi,940276
Matsumoto/Nakatani,940277
Kaneko/Arakawa,940278
Salemi B. /A.Vakili,940279
Tupai/Leute,940280
Uati/Neval,940281
Amerika/Hamish,940282
Amerika/Hamish,940283
Uati/Vaetoe,940284
Jenkins/Weiler,940285
Jones/Stewart,940286
Yigit/Anyang,940287
Tutton/Nicolaidis,940288
Burling/Stewart,940289
Tui/Hamish,940290
Takahashi/Gottsu,940291
Shimizu/Hasegawa,940292
Hatabe/Nishimura,940293
Ageba/Nagai,940294
Onodera/Shibata,940295
Sato/Koshikawa,940296
Shiratori/Momo,940297
Murakami/Kurasaka,940298
Tsuchiya/Dogi,940299
Shoji/Ikeda,940300
KAI/Taira,940301
Shindo/Harada,940302
Yoshida/Wada,940303
Nakagawa/Inoue,940304
Toyoda/Shimabukuro,940305
Umeno/Komori,940306
Cherif/Ahmed,940307
Naser/Al-Kuwari,940308
Tamer/M. Essam,940309
Ishii/Murakami,940310
Take/Kusano,940311
Mizoe/Suzuka,940312
Chiyo/Reika,940313
Nagata/Kumada,940314
Suzuki/Kaho,940315
Ishitsubo/Shiba,940316
Summer/Sakurako,940317
Urata/Mai,940318
Sakamoto/Sawame,940319
Habaguchi/Yurika,940320
Miyuki/Motomura,940321
Minamiya/Saito,940322
Matsuyama/Wada,940323
Yanagi/Arai,940324
Sugawara/Inoue,940325
Takahashi/Hasegawa,940326
N. Banlue/Intuch,940327
D.Kitti/J. Surin,940328
NASSIR/Jassim,940329
Lahti/Parkkinen,940330
Lahti/Parkkinen,940331
Lehtonen/Ahtiainen,940332
Lehtonen/Ahtiainen,940333
Mazin/Nouh,940334
Ali/Hood,940335
Haitham/Ahmed,940336
Gottsu/Ageba,940337
Ana Patrícia/Rebecca,940338
Pedro Solberg/Bruno Schmidt,940339
George/Thiago,940340
Kuvichka/Kislytsyn,940341
Bolgov/Ermilov,940342
Takahashi/Gottsu,940343
Shoji/Hasegawa,940344
Shibata/Onodera,940345
Hatabe/Nishimura,940346
Shiratori/Hartles,940347
Shimizu/Ikeda,940348
Murakami/Kurasaka,940349
Tsuchiya/Dogi,940350
Koshikawa/Inoue,940351
Taira/Sato,940352
Shindo/Harada,940353
KAI/Dylan,940354
Ageba/Nagai,940355
Takahashi/Gottsu,940356
Shoji/Hasegawa,940357
Shibata/Ageba,940358
Hatabe/Nishimura,940359
Shiratori/Hartles,940360
Shimizu/Ikeda,940361
Murakami/Kurasaka,940362
Tsuchiya/Dogi,940363
Yoshida/Inoue,940364
Taira/Sato,940365
Shindo/Harada,940366
KAI/Onodera,940367
Shimizu/Hasegawa,940368
Shoji/Ikeda,940369
Yoshida/Dogi,940370
Métral/Haussener,940371
"Stubbe, J./van Iersel",940372
"Stubbe, J./van Iersel",940373
"Stubbe, J./van Iersel",940374
"Stubbe, J./van Iersel",940375
"Stubbe, J./van Iersel",940376
"Stubbe, J./van Iersel",940377
"Stubbe, J./van Iersel",940378
"Stubbe, J./van Iersel",940379
"Stubbe, J./van Iersel",940380
"Stubbe, J./van Iersel",940381
"Stubbe, J./van Iersel",940382
"Stubbe, J./van Iersel",940383
"Stubbe, J./van Iersel",940384
"Stubbe, J./van Iersel",940385
Amaranta/Lobato,940396
Lunde/Ulveseth,940400
Take/Kusano,940401
Take/Kusano,940402
Take/Kusano,940403
Hartles/Nicklin,940404
Kaminosono/Kai,940405
Take/Kusano,940406
Mizoe/Suzuka,940407
Chiyo/Reika,940408
Nagata/Kumada,940409
Suzuki/Kaho,940410
Ishitsubo/Shiba,940411
Sakamoto/Sawame,940412
Summer/Sakurako,940413
Minamiya/Sakai,940414
Urata/Mai,940415
Habaguchi/Yurika,940416
Wakai/Yamada,940417
Davidova/Baieva,940418
Raoufi R./A. Mirzaali,940422
A.Vakili/Salemi B. ,940423
Gregory/Batrane,940424
Gregory/Batrane,940425
"Andreatta, T./Abbiati",940426
Sidorenko/Dyachenko,940430
Bogatu/Yakovlev,940431
Murat G./Gögtepe V.,940432
Urlu/Sekerci,940433
Brunner/Hüberli,940434
"Stubbe, J./van Iersel",940435
Akiko/Futami,940436
Hevaldo/Arthur,940437
Tainá/Victoria,940438
"Mol, A./Sørum, C.",940439
"Mol, A./Sørum, C.",940440
"Mol, A./Sørum, C.",940441
"Mol, A./Sørum, C.",940442
"Mol, A./Sørum, C.",940443
"Mol, A./Sørum, C.",940444
"Mol, A./Sørum, C.",940445
"Mol, A./Sørum, C.",940446
"Mol, A./Sørum, C.",940447
"Mol, A./Sørum, C.",940448
"Mol, A./Sørum, C.",940449
"Mol, A./Sørum, C.",940450
"Mol, A./Sørum, C.",940451
"Mol, A./Sørum, C.",940452
"Mol, A./Sørum, C.",940453
"Mol, A./Sørum, C.",940454
Bukovec/Poletto,940455
Takahashi/Gottsu,940456
Shimizu/Hasegawa,940457
Shoji/Ikeda,940458
Murakami/Kurasaka,940459
Tsuchiya/Dogi,940460
Onodera/Shibata,940461
Ageba/Nagai,940462
Hatabe/Nishimura,940463
Ishii/Murakami,940464
Mizoe/Suzuka,940465
Take/Kusano,940466
Sakamoto/Sawame,940467
Ishitsubo/Shiba,940468
Chiyo/Reika,940469
Suzuki/Kaho,940470
Nagata/Kumada,940471
Shimabukuro/Tadano,940472
Tyndeskov/Trans,940473
Thomsen/Abell,940474
Murakami/Ishii,940475
Murakami/Ishii,940476
Chiyo/Reika,940477
Suzuki/Kaho,940478
Ishitsubo/Shiba,940479
Sakamoto/Sawame,940480
Urata/Mai,940481
Habaguchi/Yurika,940482
Tanaka/Sakurako,940483
Summer/Minamiya,940484
Miyuki/Motomura,940485
Arai/Inoue,940486
Sakai/Katagiri,940487
kokubo/Sugawara,940488
Tsuchiya/Saito,940489
Okada/Tanida,940490
Hata/Sakurai,940491
Keizer/Meppelink,940492
Sinnema/Bloem,940493
Dziadkou/Piatrushka,940494
Huerta A./Menéndez,940495
Paula/Carro,940496
Kissling G./Zandbergen,940497
"Menegatti/Orsi Toth, V.",940498
"Menegatti/Orsi Toth, V.",940499
"Menegatti/Orsi Toth, V.",940500
"Menegatti/Orsi Toth, V.",940501
"Menegatti/Orsi Toth, V.",940502
"Menegatti/Orsi Toth, V.",940503
"Menegatti/Orsi Toth, V.",940504
"Menegatti/Orsi Toth, V.",940505
"Menegatti/Orsi Toth, V.",940506
"Menegatti/Orsi Toth, V.",940507
"Menegatti/Orsi Toth, V.",940508
"Menegatti/Orsi Toth, V.",940509
"Menegatti/Orsi Toth, V.",940510
Sakurako/Kumada,940511
Heidrich/Gerson,940512
Coelho/Paquete,940513
Olsen/Bisgaard,940514
"Bello, Ja./Bello, Jo.",940515
Doppler/Horst,940516
Nicolai/Lupo,940517
Nicolai/Lupo,940518
Nicolai/Lupo,940519
Nicolai/Lupo,940520
Nicolai/Lupo,940521
Nicolai/Lupo,940522
Nicolai/Lupo,940523
Nicolai/Lupo,940524
Nicolai/Lupo,940525
Nicolai/Lupo,940526
Nicolai/Lupo,940527
Takahashi/Hasegawa,940528
Kojima/Taira,940529
Mäder/Vergé-Dépré A.,940530
Aispurs/Belerts,940531
Schützenhöfer/Lena,940532
Arvaniti/Karagkouni,940533
Tsopoulou/Manavi,940534
Blom/de Groot,940535
Winter/Hörl,940536
Pedlow/Schachter,940537
"van Driel, E./Schoon",940538
Brzostek/Wachowicz,940539
Gruszczynska/Gromadowska,940540
Raoufi R./A. Mirzaali,940541
Oscar/Luciano,940542
Ricardo/Álvaro Filho,940543
Ricardo/Álvaro Filho,940544
Oscar/Luciano,940545
Hevaldo/Arthur,940546
George/Thiago,940547
Pedro Solberg/Bruno Schmidt,940548
Alison/Andre,940549
Evandro/Vitor Felipe,940550
Maria Antonelli/Carol,940551
Agatha/Duda,940552
Talita/Taiana Lima,940553
Ana Patrícia/Rebecca,940554
Barbara/Fernanda,940555
Maria Clara/Elize Maia,940556
Tainá/Victoria,940557
"Allegretti, D./Annibalini",940558
"Strauss, N./Strauss, T.",940559
Galli M./Morichelli,940560
KAI/Sato,940561
Kazdailis/Rumsevicius,940562
"Friedl/Pfeffer, E.",940563
Starikov/Dave,940564
Starikov/Dave,940565
Chorin/Maor,940566
Chorin/Maor,940567
Basta/Kolaric,940568
Matic/Hogan,940569
Carol Horta/Angela,940570
Márcio /Vinicius,940571
"Seidl, R./Waller",940572
"Seidl, R./Waller",940573
Nusbaum/Plantinga,940574
Nusbaum/Plantinga,940575
Nusbaum/Plantinga,940576
Nusbaum/Plantinga,940577
Nusbaum/Plantinga,940578
Nusbaum/Plantinga,940579
Alix/April,940580
Stockman/Kolinske,940581
Sponcil/Cheng,940582
Sweat/Walsh Jennings,940583
Day/Flint,940584
Reeves/Howard,940585
Allen/Slick,940586
Brunner/Priddy,940587
Patterson/Budinger,940588
Kolinske/Evans,940589
Zaun/Casebeer,940590
Drost/Ratledge,940591
Vaught/Mewhirter,940592
Boag/Partain,940593
Makroguzova/Kholomina,940594
Bocharova/Voronina,940595
Dabizha/Rudykh,940596
Dabizha/Rudykh,940597
Abalakina/Rudykh,940598
Rudykh/Zayonchkovskaya,940599
Andriukaityte/Vitkauskaite,940600
Juchnevic/Vasiljev,940601
Thole J./Wickler,940602
Thole J./Wickler,940603
Walkenhorst/Winter,940604
Van de Velde/Ittlinger,940605
I. Nuttanon/Intuch,940606
J. Surin/K. Adisorn,940607
Perusic/Schweiner,940608
Perusic/Schweiner,940609
Pala/Sotola,940610
Fecteau-Boutin/Reka,940611
Grabovskyy/Wheelan,940612
Harnett/Lapointe,940613
Syrtseva/Moiseeva,940614
Abalakina/Zayonchkovskaya,940615
Strbova/Pridalova N.,940616
Johnson/Austin,940617
Stadie/Becker,940618
Betzien/Erdmann,940619
Hjortland/Kjølberg,940620
Hjortland/Kjølberg,940621
Hjortland/Kjølberg,940622
Kantor/Łosiak,940623
Szalankiewicz/Rudol,940624
Prudel/Kruk,940625
Sdebel/Ilewicz,940626
Ranghieri/Caminati,940627
Ranghieri/Caminati,940628
Ranghieri/Caminati,940629
Ranghieri/Caminati,940630
Ranghieri/Caminati,940631
Ranghieri/Caminati,940632
Ranghieri/Caminati,940633
Ranghieri/Caminati,940634
Ranghieri/Caminati,940635
Ranghieri/Caminati,940636
Ranghieri/Caminati,940637
Ranghieri/Caminati,940638
Ranghieri/Caminati,940639
Ranghieri/Caminati,940640
Ranghieri/Caminati,940641
Ranghieri/Caminati,940642
Ranghieri/Caminati,940643
Ranghieri/Caminati,940644
Ranghieri/Caminati,940645
Ranghieri/Caminati,940646
Ranghieri/Caminati,940647
Lunina/Hladun,940648
Zuccarelli/Traballi,940649
Zuccarelli/Traballi,940650
Zuccarelli/Traballi,940651
Zuccarelli/Traballi,940652
Zuccarelli/Traballi,940653
Zuccarelli/Traballi,940654
Zuccarelli/Traballi,940655
Zuccarelli/Traballi,940656
Zuccarelli/Traballi,940657
Zuccarelli/Traballi,940658
Zuccarelli/Traballi,940659
Zuccarelli/Traballi,940660
Zuccarelli/Traballi,940661
Zuccarelli/Traballi,940662
Zuccarelli/Traballi,940663
Zuccarelli/Traballi,940664
Barboni/Puccinelli,940665
Barboni/Puccinelli,940666
Barboni/Puccinelli,940667
Barboni/Puccinelli,940668
Barboni/Puccinelli,940669
Puccinelli/Scampoli,940670
Barboni/Puccinelli,940671
Barboni/Puccinelli,940672
Barboni/Puccinelli,940673
Barboni/Puccinelli,940674
Barboni/Puccinelli,940675
Barboni/Puccinelli,940676
"Kindl/Ertl, F.",940677
Jupiter/Chamereau,940678
Placette/Richard,940679
Krou/Rowlandson,940680
Di Giantommaso/Silvestre Jérémy,940681
"Aye, Q./Gauthier-Rat",940682
Barthelemy/Loiseau,940683
Solovejs/Finsters,940684
Samoilovs/Smedins,940685
Samoilovs/Smedins,940686
Samoilovs/Smedins,940687
Samoilovs/Smedins,940688
Samoilovs/Smedins,940689
Samoilovs/Smedins,940690
Samoilovs/Smedins,940691
Samoilovs/Smedins,940692
Samoilovs/Smedins,940693
Samoilovs/Smedins,940694
Samoilovs/Smedins,940695
Samoilovs/Smedins,940696
Samoilovs/Smedins,940697
Samoilovs/Smedins,940698
Samoilovs/Smedins,940699
Samoilovs/Smedins,940700
Anastasija/Lece,940701
Gabdullins/Samoilovs M.,940702
Tina/Jaudzema,940703
Immers/Vismans S.,940704
Driessen/van Esch,940705
Sramek/Samec,940706
Bouter/Penninga,940707
MacNeil/Hoey,940708
Stoyanovskiy/Krasilnikov,940709
Liamin/Velichko,940710
Semenov/Leshukov,940711
Sivolap/Yarzutkin,940712
Samoday/Myskiv,940713
Boehlé/Boermans,940714
Vismans S./Van Steenis,940715
"van der Ham/Nijeboer, T.",940716
"Bercik, V./Dumek",940717
Iemelianchyk/Denysenko,940718
Popov/Gladun,940719
Brouwer/Meeuwsen,940720
Frank/Kubickova,940721
Hudyakov/Bykanov,940722
Rosager/Trans,940723
Ypma/Wouters,940724
"Piersma E./Stubbe, P.",940725
Kaczmarek/Legieta,940726
Jakopin/Bedrac,940727
HSIEH Y.J./WANG C.J.,940728
Pata/Matauatu,940729
Pata/Matauatu,940730
Huber/Hübscher,940731
Bergis/Bedritis,940732
Xue/Wang X. X.,940733
Xue/Wang X. X.,940734
Xue/Wang X. X.,940735
Wang/X. Y. Xia,940736
Wang/X. Y. Xia,940737
Wang/X. Y. Xia,940738
M.M. Lin/J. J. Zeng,940739
M.M. Lin/J. J. Zeng,940740
M.M. Lin/J. J. Zeng,940741
Gleb/Gustavs,940742
Kubickova/Frank,940743
Kubickova/Frank,940744
Kubickova/Frank,940745
Kubickova/Frank,940746
Kubickova/Frank,940747
Kubickova/Frank,940748
Kubickova/Frank,940749
Kubickova/Frank,940750
Grimalt M./Grimalt E.,940751
Grimalt M./Grimalt E.,940752
Grimalt M./Grimalt E.,940753
Grimalt M./Grimalt E.,940754
Grimalt M./Grimalt E.,940755
Grimalt M./Grimalt E.,940756
Grimalt M./Grimalt E.,940757
Grimalt M./Grimalt E.,940758
Grimalt M./Grimalt E.,940759
Grimalt M./Grimalt E.,940760
Grimalt M./Grimalt E.,940761
Grimalt M./Grimalt E.,940762
Grimalt M./Grimalt E.,940763
Grimalt M./Grimalt E.,940764
Grimalt M./Grimalt E.,940765
Ehlers/Flüggen,940766
Ehlers/Flüggen,940767
Ehlers/Flüggen,940768
Thole J./Wickler,940769
Thole J./Wickler,940770
Bieneck/Schneider,940771
Laboureur/Sude,940772
Nagy/Saxton,940773
Yoshida/Wada,940774
Borger/Kozuch,940775
Ludwig/Walkenhorst,940776
Davidova/Baieva,940777
Popov/Gordieiev,940778
Iemelianchyk/Denysenko,940779
Davidova/Baieva,940780
Popov/Gordieiev,940781
Iemelianchyk/Denysenko,940782
HSU C.W./WU S.S.,940783
KAI/Sato,940784
Shoji/Kurasaka,940785
Murakami/Tsuchiya,940786
Carol Horta/Angela,940787
Guto/Saymon,940788
Johnson/Austin,940789
Aljoe/Powell,940790
P. Gao/Y. Li,940791
P. Gao/Y. Li,940792
P. Gao/Y. Li,940793
Wu Jiaxin/HA Likejiang,940794
Wu Jiaxin/HA Likejiang,940795
Wu Jiaxin/HA Likejiang,940796
Ch. W. Zhou/Li Zhuoxin,940797
Ch. W. Zhou/Li Zhuoxin,940798
Ch. W. Zhou/Li Zhuoxin,940799
Van de Velde/Ittlinger,940800
Opsahl/Ruud,940827
Capogrosso N./Azaad,940828
Gallay/Pereyra,940829
Matic/Hogan,940832
Ariana/Briggitte,940833
Mishelle /Centeno,940834
Jaramillo/Quiñones,940835
Marcos/Joel,940836
Monduzzi/de angeli,940837
Bulc/Zdešar,940844
Akiko/Futami,940845
Sramek/Samec,940847
###DO NOT USE###/Ata,940849
Ampelosa/Amar,940850
Kojima/Taira,940851
Kojima/Taira,940852
Kojima/Taira,940853
Kojima/Taira,940854
Kojima/Taira,940855
Kojima/Taira,940856
Kojima/Taira,940857
Frank/Kubickova,940858
Sittig/Pierangeli,940863
Maau/Fareura,940864
Tauraa/Touaitahuata,940865
Patu/Pautu,940866
Tauraa/Paraue,940867
Ena/Tautu,940868
Tauraa/Vaki,940869
Pata/Toko,940874
Pata/Toko,940875
Pata/Toko,940876
Pata/Toko,940877
Starikov/Dave,940878
Maor/Chorin,940879
K.L. Zhang/X.CH Zhang,940880
K.L. Zhang/X.CH Zhang,940881
"Gravesteijn/van Driel, M.",940882
Oosterveld/de Vries,940883
Wouters/Ypma,940884
"Piersma E./Stubbe, P.",940885
Rekar/van Duinen,940886
van de Velde/Gras,940887
van Dijken/van Werkhoven,940888
Zwaanswijk/van der Lecq,940889
Bak/Dijkstra,940890
Driessen/Meertens,940891
van Esch/den Haan,940892
Reinders/van Diepen,940893
Vieyto/Cairus,940895
Baldi/Hannibal,940896
Baldi/Hannibal,940897
Vieyto/Cairus,940898
Fortunati/C. Bausero,940899
Fortunati/C. Bausero,940900
Michelle/Erika,940901
Baldi/Hannibal,940902
Karina/Poletti,940903
Gonzalo/Riveros,940904
Serna/Calle,940906
Cinthia/Gaona,940907
Rivas Zapata/Paula Vallejos,940908
Mardones/Natalia,940909
Grimalt M./Grimalt E.,940910
Zavala/Lammel,940911
Charly/Tigrito,940912
Charly/Tigrito,940913
Peter/Fañe,940914
Vicente/Fañe,940915
Ramirez/Yonnielis,940916
Ramirez/Yonnielis,940917
Gabi/Agudo,940918
Gabi/Agudo,940919
Vieyto/Cairus,940920
Simon/Rotti,940921
Simon/S. Hernandez,940922
Juliana/Andressa,940923
Josi/Neide,940924
George/Thiago,940925
Adrielson/Eduardo,940926
Arthur/Hevaldo,940929
Jo/Leonardo,940932
Kirwan/MacDonald,940935
Kirwan/MacDonald,940936
Yuly/Diana,940937
Yuly/Diana,940938
Yuly/Diana,940939
Gorda/Andrea,940940
Gorda/Andrea,940941
Murray/Manjarres,940942
Murray/Manjarres,940943
Gorda/Andrea,940944
Xue/Wang X. X.,940945
Wang/X. Y. Xia,940946
M.M. Lin/J. J. Zeng,940947
K.L. Zhang/X.CH Zhang,940948
P. Gao/Y. Li,940949
P. Gao/Y. Li,940950
Wu Jiaxin/HA Likejiang,940951
Wu Jiaxin/HA Likejiang,940952
Ch. W. Zhou/Li Zhuoxin,940953
Ch. W. Zhou/Li Zhuoxin,940954
van der Ham/Vismans S.,940955
"Schoon/van Driel, E.",940956
Wesselink/van Gestel,940957
Driessen/Meertens,940958
Stam/Wouters,940959
van Esch/den Haan,940960
Bak/Dijkstra,940961
Rekar/Luijken,940962
van der Lecq/Gras,940963
van Duinen/van de Velde,940964
Weernekers/Mol,940965
van der Lecq/Gras,940966
Oosterveld/de Vries,940967
"Gravesteijn/van Driel, M.",940968
Tainá/Victoria,940969
Carol Horta/Angela,940970
Pata/Matauatu,940971
Pata/Matauatu,940972
Pata/Matauatu,940973
Plavins/Tocs,940974
Plavins/Tocs,940975
Plavins/Tocs,940976
Plavins/Tocs,940977
Plavins/Tocs,940978
Plavins/Tocs,940979
Plavins/Tocs,940980
Plavins/Tocs,940981
Plavins/Tocs,940982
Plavins/Tocs,940983
Plavins/Tocs,940984
Jaramillo/Quiñones,940985
Leon/Joel,940986
Ariana/Briggitte,940987
Ariana/Centeno,940988
"Schoon/van Driel, E.",940990
Oosterveld/de Vries,940991
Rekar/Gras,940992
Luijken/Gravesteijn,940993
van Esch/den Haan,940994
Smit/Katan,940995
Bak/Dijkstra,940996
van der Lecq/Priem,940997
Piersma E./Nieuwstad,940998
Faber/Boel,940999
Timmermans/van Esch,941000
Zwaanswijk/Baak,941001
Hudyakov/Bykanov,941002
Verpoorten/De Cuba,941003
Haanappel/Gras,941004
Immers/Ahyi,941005
Baan/Heijting,941006
Feenstra/van Pruissen,941007
Uittenbosch/Lochtenberg,941008
Yark/van Helden,941009
Van Gilst/van Werkhoven,941010
van Gilst/Agterberg,941011
Damen/de Groot,941012
Enter/Groen,941013
Haanappel/Boermans,941014
Haanappel/Boermans,941015
Immers/de Groot,941016
Haanappel/Gras,941017
Verpoorten/De Cuba,941018
Feldkamp/Nijland,941019
de Koe/Van Gilst,941020
Uittenbosch/Lochtenberg,941021
Yark/van Helden,941022
"Nijeboer, T./Niewold",941023
Baan/Heijting,941024
Feenstra/van Pruissen,941025
Koekelkoren/van Walle,941026
van der Ham/Vismans S.,941027
Haanappel/Boermans,941028
Feldkamp/Nijland,941029
Blom/de Groot,941030
Penninga/Damen,941031
Verpoorten/De Cuba,941032
van der Schaaf/Broekema,941033
Haanappel/Gras,941034
Uittenbosch/Lochtenberg,941035
Oude Elferink/Spijkers,941036
Feenstra/van Pruissen,941037
"Gravesteijn/van Driel, M.",941038
Remmers/Stiekema,941039
"Schoon/van Driel, E.",941040
Oosterveld/de Vries,941041
van Esch/den Haan,941042
Bak/Dijkstra,941043
Katan/Gras,941044
Reinders/van Diepen,941045
Rekar/Rekar,941046
van Dijken/van Werkhoven,941047
Weiler/Ypma,941048
van der Lecq/Van Berkel,941049
Verpoorten/De Cuba,941050
Blom/de Groot,941051
Ahyi/Penninga,941052
Haanappel/Boermans,941053
Feldkamp/Nijland,941054
Feenstra/van Pruissen,941055
Haanappel/Gras,941056
de Koe/Van Gilst,941057
Groen/Kalmeijer,941058
Immers/Damen,941059
Uittenbosch/Lochtenberg,941060
Wesselink/van Gestel,941061
"Schoon/van Driel, E.",941062
"Gravesteijn/van Driel, M.",941063
Stam/Ypma,941064
Oosterveld/de Vries,941065
Rekar/Luijken,941066
Bak/Dijkstra,941067
Michelle/Pati,941068
Michelle/Erika,941069
Erika/Filippo,941070
Poletti/Filippo,941071
Gonzalo/Riveros,941072
Gonzalo/Riveros,941073
Grimalt M./Grimalt E.,941074
Zavala/Lammel,941075
Rivas Zapata/Paula Vallejos,941076
Mardones/Natalia,941077
"Stubbe, J./van Iersel",941078
Murakami/Ishii,941079
Murakami/Ishii,941080
Murakami/Ishii,941081
Akiko/Futami,941082
Akiko/Futami,941083
Goldschmidt/Williams,941084
Goldschmidt/Williams,941085
Capogrosso N./Azaad,941086
Capogrosso N./Azaad,941088
Capogrosso N./Azaad,941089
Gallay/Pereyra,941090
Gallay/Pereyra,941092
Gallay/Pereyra,941093
Ehlers/Flüggen,941094
Rossi/Carambula,941095
Rossi/Carambula,941096
Rossi/Carambula,941097
Rossi/Carambula,941098
Rossi/Carambula,941099
Rossi/Carambula,941100
Rossi/Carambula,941101
Rossi/Carambula,941102
Rossi/Carambula,941103
Rossi/Carambula,941104
Rossi/Carambula,941105
Rossi/Carambula,941106
Rossi/Carambula,941107
Rossi/Carambula,941108
Rossi/Carambula,941109
Rossi/Carambula,941110
Sakurako/Kumada,941111
Sakurako/Kumada,941112
Sakurako/Kumada,941113
Sakurako/Kumada,941114
KOU N.H./LIU P.H. ,941115
YU Y.H./PAN T.Y.,941116
KOU N.H./LIU P.H. ,941117
"van Ass/van Driel, M.",941118
van Dijken/van Werkhoven,941119
Oosterveld/de Vries,941120
van Duijnhoven/Berden,941121
van Esch/den Haan,941122
Reinders/van Diepen,941123
van de Velde/Gras,941124
Bak/Dijkstra,941125
Timmermans/van Esch,941126
Smit/Katan,941127
Westerbeek/van Duinen,941128
Faber/Boel,941129
Haanappel/Boermans,941130
van der Ham/Vismans S.,941131
Blom/Immers,941132
Verpoorten/De Cuba,941133
Broekema/Ahyi,941134
Uittenbosch/Lochtenberg,941135
Yark/van Helden,941136
"Nijeboer, T./van Dorsten",941137
de Koe/Van Gilst,941138
Haanappel/Gras,941139
Enter/Groen,941140
Nieuwstad/Kroon,941141
Olivova/Rehackova,941142
Mizoe/Suzuka,941143
Mizoe/Suzuka,941144
Ishitsubo/Shiba,941145
Ishitsubo/Shiba,941146
Beeler/Krattiger,941147
Beeler/Krattiger,941148
Beeler/Krattiger,941149
Brzostek/Wachowicz,941150
Brzostek/Wachowicz,941151
Brzostek/Wachowicz,941152
Gruszczynska/Gromadowska,941153
Gruszczynska/Gromadowska,941154
Reinders/van Diepen,941155
Bain/Tilley,941156
van de Velde/Gras,941157
van der Made/Everaert,941158
Weijzen/Leithuijser,941159
"Dumek/Bercik, V.",941160
"Dumek/Bercik, V.",941161
"Dumek/Bercik, V.",941162
"Dumek/Bercik, V.",941163
"Dumek/Bercik, V.",941164
"Dumek/Bercik, V.",941165
"Dumek/Bercik, V.",941166
"Dumek/Bercik, V.",941167
"Dumek/Bercik, V.",941168
"Menegatti/Orsi Toth, V.",941169
Jean-Christi/Joel,941170
Koffi/Hardy,941171
