no,code,name,bracket,NoTournament_id
19,M1,M1,M1,3
20,GSM1,Golden set M1,M1,3
21,M2,M2,M2,3
22,GSM2,Golden set M2,M2,3
23,M3,M3,M3,3
24,GSM3,Golden set M3,M3,3
25,M1,M1,M1,4
26,GSM1,Golden set M1,M1,4
27,M2,M2,M2,4
28,GSM2,Golden set M2,M2,4
29,M3,M3,M3,4
30,GSM3,Golden set M3,M3,4
31,M1,M1,M1,6
32,GSM1,Golden set M1,M1,6
33,M2,M2,M2,6
34,GSM2,Golden set M2,M2,6
35,M3,M3,M3,6
36,GSM3,Golden set M3,M3,6
37,M1,M1,M1,7
38,GSM1,Golden set M1,M1,7
39,M2,M2,M2,7
40,GSM2,Golden set M2,M2,7
41,M3,M3,M3,7
42,GSM3,Golden set M3,M3,7
43,M1,M1,M1,8
44,GSM1,Golden set M1,M1,8
45,M2,M2,M2,8
46,GSM2,Golden set M2,M2,8
47,M3,M3,M3,8
48,GSM3,Golden set M3,M3,8
49,M1,M1,M1,9
50,GSM1,Golden set M1,M1,9
51,M2,M2,M2,9
52,GSM2,Golden set M2,M2,9
53,M3,M3,M3,9
54,GSM3,Golden set M3,M3,9
55,GER,Country quota for GER,,19
56,TUR,Country quota for TUR,,19
57,NED,Country quota for NED,,19
58,I,Round 1,W,19
59,I,Round 1,W,19
60,II,Round 2,W,19
61,R13,Losers are ranked 13th,L,19
62,R9,Losers are ranked 9th,L,19
63,III,Round 3,W,19
64,R7,Losers are ranked 7th,L,19
65,R5,Losers are ranked 5th,L,19
66,SF,Semi-finals,W,19
67,F3,Final 3rd Place,F,19
68,F1,Final 1st Place,F,19
69,NOR,Country quota for NOR,,22
70,I,Round 1,W,22
71,II,Round 2,W,22
72,I,Round 1,W,22
73,II,Round 2,W,22
74,R25,Losers are ranked 25th,L,22
75,R17,Losers are ranked 17th,L,22
76,III,Round 3,W,22
77,R13,Losers are ranked 13th,L,22
78,R9,Losers are ranked 9th,L,22
79,IIII,Round 4,W,22
80,R7,Losers are ranked 7th,L,22
81,R5,Losers are ranked 5th,L,22
82,S,Semifinals,S,22
83,F3,Final 3rd Place,F,22
84,F1,Final 1st Place,F,22
85,AUS,Country quota for AUS,,24
86,USA,Country quota for USA,,24
87,I,Round 1,W,24
88,II,Round 2,W,24
89,III,Round 3,W,24
90,I,Round 1,W,24
91,II,Round 2,W,24
92,R25,Losers are ranked 25th,L,24
93,R17,Losers are ranked 17th,L,24
94,III,Round 3,W,24
95,R13,Losers are ranked 13th,L,24
96,R9,Losers are ranked 9th,L,24
97,IIII,Round 4,W,24
98,R7,Losers are ranked 7th,L,24
99,R5,Losers are ranked 5th,L,24
100,S,Semifinals,S,24
101,F3,Final 3rd Place,F,24
102,F1,Final 1st Place,F,24
103,SWE,Country quota for SWE,,30
104,NOR,Country quota for NOR,,30
105,I,Round 1,W,30
106,II,Round 2,W,30
107,III,Round 3,W,30
108,I,Round 1,W,30
109,II,Round 2,W,30
110,R25,Losers are ranked 25th,L,30
111,R17,Losers are ranked 17th,L,30
112,III,Round 3,W,30
113,R13,Losers are ranked 13th,L,30
114,R9,Losers are ranked 9th,L,30
115,IIII,Round 4,W,30
116,R7,Losers are ranked 7th,L,30
117,R5,Losers are ranked 5th,L,30
118,S,Semifinals,S,30
119,F3,Final 3rd Place,F,30
120,F1,Final 1st Place,F,30
121,BRA,Country quota for BRA,,32
122,GER,Country quota for GER,,32
123,SWE,Country quota for SWE,,32
124,I,Round 1,W,32
125,II,Round 2,W,32
126,III,Round 3,W,32
127,I,Round 1,W,32
128,II,Round 2,W,32
129,R25,Losers are ranked 25th,L,32
130,R17,Losers are ranked 17th,L,32
131,III,Round 3,W,32
132,R13,Losers are ranked 13th,L,32
133,R9,Losers are ranked 9th,L,32
134,IIII,Round 4,W,32
135,R7,Losers are ranked 7th,L,32
136,R5,Losers are ranked 5th,L,32
137,S,Semifinals,S,32
138,F3,Final 3rd Place,F,32
139,F1,Final 1st Place,F,32
140,SWE,Country quota for SWE,,33
141,NOR,Country quota for NOR,,33
142,I,Round 1,W,33
143,II,Round 2,W,33
144,III,Round 3,W,33
145,I,Round 1,W,33
146,II,Round 2,W,33
147,R25,Losers are ranked 25th,L,33
148,R17,Losers are ranked 17th,L,33
149,III,Round 3,W,33
150,R13,Losers are ranked 13th,L,33
151,R9,Losers are ranked 9th,L,33
152,IIII,Round 4,W,33
153,R7,Losers are ranked 7th,L,33
154,R5,Losers are ranked 5th,L,33
155,S,Semifinals,S,33
156,F3,Final 3rd Place,F,33
157,F1,Final 1st Place,F,33
158,RUS,Country quota for RUS,,39
159,UKR,Country quota for UKR,,39
160,I,Round 1,W,39
161,II,Round 2,W,39
162,R9,Losers are ranked 9th,L,39
163,III,Round 3,W,39
164,R7,Losers are ranked 7th,L,39
165,R5,Losers are ranked 5th,L,39
166,SF,Semi-finals,W,39
167,F3,Final 3rd Place,F,39
168,F1,Final 1st Place,F,39
169,ESP,Country quota for ESP,,44
170,ITA,Country quota for ITA,,44
171,NED,Country quota for NED,,44
172,SUI,Country quota for SUI,,44
173,I,Round 1,W,44
174,II,Round 2,W,44
175,III,Round 3,W,44
176,I,Round 1,W,44
177,II,Round 2,W,44
178,R13,Losers are ranked 13th,L,44
179,R9,Losers are ranked 9th,L,44
180,III,Round 3,W,44
181,R7,Losers are ranked 7th,L,44
182,R5,Losers are ranked 5th,L,44
183,SF,Semi-finals,W,44
184,F3,Final 3rd Place,F,44
185,F1,Final 1st Place,F,44
186,BRA,Country quota for BRA,,49
187,ESP,Country quota for ESP,,49
188,ITA,Country quota for ITA,,49
189,NOR,Country quota for NOR,,49
190,I,Round 1,W,49
191,II,Round 2,W,49
192,III,Round 3,W,49
193,I,Round 1,W,49
194,II,Round 2,W,49
195,R25,Losers are ranked 25th,L,49
196,R17,Losers are ranked 17th,L,49
197,III,Round 3,W,49
198,R13,Losers are ranked 13th,L,49
199,R9,Losers are ranked 9th,L,49
200,IIII,Round 4,W,49
201,R7,Losers are ranked 7th,L,49
202,R5,Losers are ranked 5th,L,49
203,S,Semifinals,S,49
204,F3,Final 3rd Place,F,49
205,F1,Final 1st Place,F,49
206,PA,Pool A,A,51
207,PB,Pool B,B,51
208,PC,Pool C,C,51
209,PD,Pool D,D,51
210,PE,Pool E,E,51
211,PF,Pool F,F,51
212,LL,Lucky Loser,LL,51
213,I,Round of 16,W,51
214,II,Quarterfinals,W,51
215,S,Semifinals,S,51
216,F3,Final 3rd Place,F,51
217,F1,Final 1st Place,F,51
218,BRA,Country quota for BRA,,63
219,I,Round 1,W,63
220,II,Round 2,W,63
221,PJ,Pool J,J,63
222,PK,Pool K,K,63
223,PL,Pool L,L,63
224,PM,Pool M,M,63
225,PN,Pool N,N,63
226,PO,Pool O,O,63
227,PP,Pool P,P,63
228,PQ,Pool Q,Q,63
229,I,Round 1,W,63
230,II,Round 2,W,63
231,III,Round 3,W,63
232,S,Semifinals,S,63
233,F3,Final 3rd Place,F,63
234,F1,Final 1st Place,F,63
235,I,Round 1,W,64
236,II,Round 2,W,64
237,PJ,Pool J,J,64
238,PK,Pool K,K,64
239,PL,Pool L,L,64
240,PM,Pool M,M,64
241,PN,Pool N,N,64
242,PO,Pool O,O,64
243,PP,Pool P,P,64
244,PQ,Pool Q,Q,64
245,I,Round 1,W,64
246,II,Round 2,W,64
247,III,Round 3,W,64
248,S,Semifinals,S,64
249,F3,Final 3rd Place,F,64
250,F1,Final 1st Place,F,64
251,GER,Country quota for GER,,65
252,ITA,Country quota for ITA,,65
253,NED,Country quota for NED,,65
254,I,Round 1,W,65
255,II,Round 2,W,65
256,III,Round 3,W,65
257,I,Round 1,W,65
258,II,Round 2,W,65
259,R13,Losers are ranked 13th,L,65
260,R9,Losers are ranked 9th,L,65
261,III,Round 3,W,65
262,R7,Losers are ranked 7th,L,65
263,R5,Losers are ranked 5th,L,65
264,SF,Semi-finals,W,65
265,F3,Final 3rd Place,F,65
266,F1,Final 1st Place,F,65
267,PA,Pool A,A,66
268,PB,Pool B,B,66
269,PC,Pool C,C,66
270,PD,Pool D,D,66
271,PE,Pool E,E,66
272,PF,Pool F,F,66
273,I,Round 1,W,66
274,II,Round 2,W,66
275,S,Semifinals,S,66
276,F3,Final 3rd Place,F,66
277,F1,Final 1st Place,F,66
278,ITA,Country quota for ITA,,67
279,GER,Country quota for GER,,67
280,GBR,Country quota for GBR,,67
281,I,Round 1,W,67
282,II,Round 2,W,67
283,III,Round 3,W,67
284,I,Round 1,W,67
285,II,Round 2,W,67
286,R13,Losers are ranked 13th,L,67
287,R9,Losers are ranked 9th,L,67
288,III,Round 3,W,67
289,R7,Losers are ranked 7th,L,67
290,R5,Losers are ranked 5th,L,67
291,SF,Semi-finals,W,67
292,F3,Final 3rd Place,F,67
293,F1,Final 1st Place,F,67
294,BRA,Country quota for BRA,,68
295,RUS,Country quota for RUS,,68
296,I,Round 1,W,68
297,II,Round 2,W,68
298,I,Round 1,W,68
299,II,Round 2,W,68
300,R25,Losers are ranked 25th,L,68
301,R17,Losers are ranked 17th,L,68
302,III,Round 3,W,68
303,R13,Losers are ranked 13th,L,68
304,R9,Losers are ranked 9th,L,68
305,IIII,Round 4,W,68
306,R7,Losers are ranked 7th,L,68
307,R5,Losers are ranked 5th,L,68
308,S,Semifinals,S,68
309,F3,Final 3rd Place,F,68
310,F1,Final 1st Place,F,68
311,BRA,Country quota for BRA,,69
312,GER,Country quota for GER,,69
313,NOR,Country quota for NOR,,69
314,RUS,Country quota for RUS,,69
315,I,Round 1,W,69
316,II,Round 2,W,69
317,I,Round 1,W,69
318,II,Round 2,W,69
319,R25,Losers are ranked 25th,L,69
320,R17,Losers are ranked 17th,L,69
321,III,Round 3,W,69
322,R13,Losers are ranked 13th,L,69
323,R9,Losers are ranked 9th,L,69
324,IIII,Round 4,W,69
325,R7,Losers are ranked 7th,L,69
326,R5,Losers are ranked 5th,L,69
327,S,Semifinals,S,69
328,F3,Final 3rd Place,F,69
329,F1,Final 1st Place,F,69
330,CAN,Country quota for CAN,,71
331,I,Round 1,W,71
332,II,Round 2,W,71
333,I,Round 1,W,71
334,II,Round 2,W,71
335,R17,Losers are ranked 17th,L,71
336,III,Round 3,W,71
337,R13,Losers are ranked 13th,L,71
338,R9,Losers are ranked 9th,L,71
339,IIII,Round 4,W,71
340,R7,Losers are ranked 7th,L,71
341,R5,Losers are ranked 5th,L,71
342,S,Semifinals,S,71
343,F3,Final 3rd Place,F,71
344,F1,Final 1st Place,F,71
345,CZE,Country quota for CZE,,72
346,CAN,Country quota for CAN,,72
347,I,Round 1,W,72
348,II,Round 2,W,72
349,III,Round 3,W,72
350,I,Round 1,W,72
351,II,Round 2,W,72
352,R17,Losers are ranked 17th,L,72
353,III,Round 3,W,72
354,R13,Losers are ranked 13th,L,72
355,R9,Losers are ranked 9th,L,72
356,IIII,Round 4,W,72
357,R7,Losers are ranked 7th,L,72
358,R5,Losers are ranked 5th,L,72
359,S,Semifinals,S,72
360,F3,Final 3rd Place,F,72
361,F1,Final 1st Place,F,72
362,I,Round 1,W,73
363,II,Round 2,W,73
364,III,Round 3,W,73
365,I,Round 1,W,73
366,II,Round 2,W,73
367,R17,Losers are ranked 17th,L,73
368,III,Round 3,W,73
369,R13,Losers are ranked 13th,L,73
370,R9,Losers are ranked 9th,L,73
371,IIII,Round 4,W,73
372,R7,Losers are ranked 7th,L,73
373,R5,Losers are ranked 5th,L,73
374,S,Semifinals,S,73
375,F3,Final 3rd Place,F,73
376,F1,Final 1st Place,F,73
377,ITA,Country quota for ITA,,80
378,I,Round 1,W,80
379,I,Round 1,W,80
380,II,Round 2,W,80
381,R17,Losers are ranked 17th,L,80
382,III,Round 3,W,80
383,R13,Losers are ranked 13th,L,80
384,R9,Losers are ranked 9th,L,80
385,IIII,Round 4,W,80
386,R7,Losers are ranked 7th,L,80
387,R5,Losers are ranked 5th,L,80
388,S,Semifinals,S,80
389,F3,Final 3rd Place,F,80
390,F1,Final 1st Place,F,80
391,I,Round 1,W,89
392,II,Round 2,W,89
393,I,Round 1,W,89
394,II,Round 2,W,89
395,R13,Losers are ranked 13th,L,89
396,R9,Losers are ranked 9th,L,89
397,III,Round 3,W,89
398,R7,Losers are ranked 7th,L,89
399,R5,Losers are ranked 5th,L,89
400,SF,Semi-finals,W,89
401,F3,Final 3rd Place,F,89
402,F1,Final 1st Place,F,89
403,PA,Pool A,A,93
404,PB,Pool B,B,93
405,PC,Pool C,C,93
406,PD,Pool D,D,93
407,PE,Pool E,E,93
408,PF,Pool F,F,93
409,I,Round 1,W,93
410,II,Round 2,W,93
411,R13,Losers are ranked 13th,L,93
412,R9,Losers are ranked 9th,L,93
413,III,Round 3,W,93
414,R7,Losers are ranked 7th,L,93
415,R5,Losers are ranked 5th,L,93
416,SF,Semi-finals,W,93
417,F3,Final 3rd Place,F,93
418,F1,Final 1st Place,F,93
419,R1,Round 1,R1,94
420,R2,Round 2,R2,94
421,R3,Round 3,R3,94
422,R4,Round 4,R4,94
423,R5,Round 5,R5,94
424,R6,Round 6,R6,94
431,SF1,Semifinals 1,SF,96
432,GSSF1,Golden set SF1,SF,96
433,SF2,Semifinals 2,SF,96
434,GSSF2,Golden set SF1,SF,96
435,F1,Final 1st Place,F,96
436,GSF1,Golden set F1,F,96
437,F3,Final 3rd Place,F,96
438,GSF3,Golden set F3,F,96
439,SF1,Semifinals 1,SF,97
440,GSSF1,Golden set SF1,SF,97
441,SF2,Semifinals 2,SF,97
442,GSSF2,Golden set SF2,SF,97
443,F1,Final 1st Place,F,97
444,GSF1,Golden set F1,F,97
445,F3,Final 3rd Place,F,97
446,GSF3,Golden set F3,F,97
447,R1,Round 1,R1,98
448,R2,Round 2,R2,98
449,R3,Round 3,R3,98
450,R4,Round 4,R4,98
455,SF1,Semifinals 1,SF,99
456,GSSF1,Golden set SF1,SF,99
457,SF2,Semifinals 2,SF,99
458,GSSF2,Golden set SF2,SF,99
459,F1,Final 1st Place,F,99
460,GSF1,Golden set F1,F,99
461,F3,Final 3rd Place,F,99
462,GSF3,Golden set F3,F,99
463,M1,M1,M1,100
464,GSM1,Golden set M1,M1,100
465,M2,M2,M2,100
466,GSM2,Golden set M2,M2,100
467,M3,M3,M3,100
468,GSM3,Golden set M3,M3,100
469,R1,Round 1,R1,101
470,R2,Round 2,R2,101
471,R3,Round 3,R3,101
475,SF1,Semifinals 1,SF,103
476,GSSF1,Golden set SF1,SF,103
477,SF2,Semifinals 2,SF,103
478,GSSF2,Golden set SF1,SF,103
479,SF1,Semifinals 1,SF,103
480,GSSF1,Golden set SF1,SF,103
481,SF2,Semifinals 2,SF,103
482,GSSF2,Golden set SF1,SF,103
483,SF1,Semifinals 1,SF,104
484,GSSF1,Golden set SF1,SF,104
485,SF2,Semifinals 2,SF,104
486,GSSF2,Golden set SF1,SF,104
487,SF1,Semifinals 1,SF,104
488,GSSF1,Golden set SF1,SF,104
489,SF2,Semifinals 2,SF,104
490,GSSF2,Golden set SF1,SF,104
491,SF1,Semifinals 1,SF,105
492,GSSF1,Golden set SF1,SF,105
493,SF2,Semifinals 2,SF,105
494,GSSF2,Golden set SF1,SF,105
495,F1,Final 1st Place,F,105
496,GSF1,Golden set F1,F,105
497,F3,Final 3rd Place,F,105
498,GSF3,Golden set F3,F,105
499,SF1,Semifinals 1,SF,106
500,GSSF1,Golden set SF1,SF,106
501,SF2,Semifinals 2,SF,106
502,GSSF2,Golden set SF1,SF,106
503,SF1,Semifinals 1,SF,106
504,GSSF1,Golden set SF1,SF,106
505,SF2,Semifinals 2,SF,106
506,GSSF2,Golden set SF1,SF,106
507,SF1,Semifinals 1,SF,107
508,GSSF1,Golden set sF1,SF,107
509,SF2,Semifinals 2,SF,107
510,GSSF2,Golden set SF2,SF,107
511,F1,Final 1st Place,F,107
512,GSF1,Golden set F1,SF,107
513,F3,Final 3rd Place,F,107
514,GSF3,Golden set F2,SF,107
515,SF1,Semifinals 1,SF,108
516,GSSF1,Golden set SF1,SF,108
517,SF2,Semifinals 2,SF,108
518,GSSF2,Golden set SF1,SF,108
519,SF1,Semifinals 1,SF,108
520,GSSF1,Golden set SF1,SF,108
521,SF2,Semifinals 2,SF,108
522,GSSF2,Golden set SF1,SF,108
523,SF1,Semifinals 1,SF,109
524,GSSF1,Golden set SF1,SF,109
525,SF2,Semifinals 2,SF,109
526,GSSF2,Golden set SF2,SF,109
527,F1,Final 1st Place,F,109
528,GSF1,Golden set F1,F,109
529,F3,Final 3rd Place,F,109
530,GSF3,Golden set F3,F,109
531,SF1,Semifinals 1,SF,110
532,GSSF1,Golden set SF1,SF,110
533,SF2,Semifinals 2,SF,110
534,GSSF2,Golden set SF2,SF,110
535,F1,Final 1st Place,F,110
536,GSF1,Golden set F1,F,110
537,F3,Final 3rd Place,F,110
538,GSF3,Golden set F3,F,110
547,F1,Final 1st Place,F,119
548,GSF1,Golden set F1,F,119
549,I,Round 1,W,126
550,II,Round 2,W,126
551,R17,Losers are ranked 17th,L,126
552,III,Round 3,W,126
553,R13,Losers are ranked 13th,L,126
554,R9,Losers are ranked 9th,L,126
555,IIII,Round 4,W,126
556,R7,Losers are ranked 7th,L,126
557,R5,Losers are ranked 5th,L,126
558,S,Semifinals,S,126
559,F3,Final 3rd Place,F,126
560,F1,Final 1st Place,F,126
561,IND,Country quota for IND,,127
562,I,Round 1,W,127
563,II,Round 2,W,127
564,I,Round 1,W,127
565,II,Round 2,W,127
566,R25,Losers are ranked 25th,L,127
567,R17,Losers are ranked 17th,L,127
568,III,Round 3,W,127
569,R13,Losers are ranked 13th,L,127
570,R9,Losers are ranked 9th,L,127
571,IIII,Round 4,W,127
572,R7,Losers are ranked 7th,L,127
573,R5,Losers are ranked 5th,L,127
574,S,Semifinals,S,127
575,F3,Final 3rd Place,F,127
576,F1,Final 1st Place,F,127
577,ROU,Country quota for ROU,,130
578,BUL,Country quota for BUL,,130
579,RUS,Country quota for RUS,,130
580,FIN,Country quota for FIN,,130
581,I,Round 1,W,130
582,II,Round 2,W,130
583,I,Round 1,W,130
584,II,Round 2,W,130
585,R13,Losers are ranked 13th,L,130
586,R9,Losers are ranked 9th,L,130
587,III,Round 3,W,130
588,R7,Losers are ranked 7th,L,130
589,R5,Losers are ranked 5th,L,130
590,SF,Semi-finals,W,130
591,F3,Final 3rd Place,F,130
592,F1,Final 1st Place,F,130
593,GRE,Country quota for GRE,,136
594,I,Round 1,W,136
595,II,Round 2,W,136
596,I,Round 1,W,136
597,II,Round 2,W,136
598,R13,Losers are ranked 13th,L,136
599,R9,Losers are ranked 9th,L,136
600,III,Round 3,W,136
601,R7,Losers are ranked 7th,L,136
602,R5,Losers are ranked 5th,L,136
603,SF,Semi-finals,W,136
604,F3,Final 3rd Place,F,136
605,F1,Final 1st Place,F,136
606,CYP,Country quota for CYP,,137
607,I,Round 1,W,137
608,II,Round 2,W,137
609,III,Round 3,W,137
610,I,Round 1,W,137
611,II,Round 2,W,137
612,R17,Losers are ranked 17th,L,137
613,III,Round 3,W,137
614,R13,Losers are ranked 13th,L,137
615,R9,Losers are ranked 9th,L,137
616,IIII,Round 4,W,137
617,R7,Losers are ranked 7th,L,137
618,R5,Losers are ranked 5th,L,137
619,S,Semifinals,S,137
620,F3,Final 3rd Place,F,137
621,F1,Final 1st Place,F,137
622,I,Round 1,W,139
623,II,Round 2,W,139
624,I,Round 1,W,139
625,II,Round 2,W,139
626,R25,Losers are ranked 25th,L,139
627,R17,Losers are ranked 17th,L,139
628,III,Round 3,W,139
629,R13,Losers are ranked 13th,L,139
630,R9,Losers are ranked 9th,L,139
631,IIII,Round 4,W,139
632,R7,Losers are ranked 7th,L,139
633,R5,Losers are ranked 5th,L,139
634,S,Semifinals,S,139
635,F3,Final 3rd Place,F,139
636,F1,Final 1st Place,F,139
637,BRA,Country quota for BRA,,160
638,CAN,Country quota for CAN,,160
639,POR,Country quota for POR,,160
640,I,Round 1,W,160
641,II,Round 2,W,160
642,III,Round 3,W,160
643,I,Round 1,W,160
644,II,Round 2,W,160
645,R25,Losers are ranked 25th,L,160
646,R17,Losers are ranked 17th,L,160
647,III,Round 3,W,160
648,R13,Losers are ranked 13th,L,160
649,R9,Losers are ranked 9th,L,160
650,IIII,Round 4,W,160
651,R7,Losers are ranked 7th,L,160
652,R5,Losers are ranked 5th,L,160
653,S,Semifinals,S,160
654,F3,Final 3rd Place,F,160
655,F1,Final 1st Place,F,160
656,BRA,Country quota for BRA,,161
657,CAN,Country quota for CAN,,161
658,NOR,Country quota for NOR,,161
659,POR,Country quota for POR,,161
660,I,Round 1,W,161
661,II,Round 2,W,161
662,III,Round 3,W,161
663,I,Round 1,W,161
664,II,Round 2,W,161
665,R25,Losers are ranked 25th,L,161
666,R17,Losers are ranked 17th,L,161
667,III,Round 3,W,161
668,R13,Losers are ranked 13th,L,161
669,R9,Losers are ranked 9th,L,161
670,IIII,Round 4,W,161
671,R7,Losers are ranked 7th,L,161
672,R5,Losers are ranked 5th,L,161
673,S,Semifinals,S,161
674,F3,Final 3rd Place,F,161
675,F1,Final 1st Place,F,161
676,PA,Pool A,A,162
677,PB,Pool B,B,162
678,PC,Pool C,C,162
679,PD,Pool D,D,162
680,PE,Pool E,E,162
681,PF,Pool F,F,162
682,I,Round 1,W,162
683,II,Round 2,W,162
684,R13,Losers are ranked 13th,L,162
685,R9,Losers are ranked 9th,L,162
686,III,Round 3,W,162
687,R7,Losers are ranked 7th,L,162
688,R5,Losers are ranked 5th,L,162
689,SF,Semi-finals,W,162
690,F3,Final 3rd Place,F,162
691,F1,Final 1st Place,F,162
692,USA,Country quota for USA,,168
693,BRA,Country quota for BRA,,168
694,I,Round 1,W,168
695,II,Round 2,W,168
696,I,Round 1,W,168
697,II,Round 2,W,168
698,R25,Losers are ranked 25th,L,168
699,R17,Losers are ranked 17th,L,168
700,III,Round 3,W,168
701,R13,Losers are ranked 13th,L,168
702,R9,Losers are ranked 9th,L,168
703,IIII,Round 4,W,168
704,R7,Losers are ranked 7th,L,168
705,R5,Losers are ranked 5th,L,168
706,S,Semifinals,S,168
707,F3,Final 3rd Place,F,168
708,F1,Final 1st Place,F,168
709,CYP,Country quota for CYP,,169
710,I,Round 1,W,169
711,I,Round 1,W,169
712,II,Round 2,W,169
713,R13,Losers are ranked 13th,L,169
714,R9,Losers are ranked 9th,L,169
715,III,Round 3,W,169
716,R7,Losers are ranked 7th,L,169
717,R5,Losers are ranked 5th,L,169
718,SF,Semi-finals,W,169
719,F3,Final 3rd Place,F,169
720,F1,Final 1st Place,F,169
721,ESP,Country quota for ESP,,170
722,I,Round 1,W,170
723,II,Round 2,W,170
724,III,Round 3,W,170
725,I,Round 1,W,170
726,II,Round 2,W,170
727,R13,Losers are ranked 13th,L,170
728,R9,Losers are ranked 9th,L,170
729,III,Round 3,W,170
730,R7,Losers are ranked 7th,L,170
731,R5,Losers are ranked 5th,L,170
732,SF,Semi-finals,W,170
733,F3,Final 3rd Place,F,170
734,F1,Final 1st Place,F,170
735,PA,Pool A,A,171
736,PB,Pool B,B,171
737,PC,Pool C,C,171
738,PD,Pool D,D,171
739,PE,Pool E,E,171
740,PF,Pool F,F,171
741,I,Round 1,W,171
742,II,Round 2,W,171
743,R13,Losers are ranked 13th,L,171
744,R9,Losers are ranked 9th,L,171
745,III,Round 3,W,171
746,R7,Losers are ranked 7th,L,171
747,R5,Losers are ranked 5th,L,171
748,SF,Semi-finals,W,171
749,F3,Final 3rd Place,F,171
750,F1,Final 1st Place,F,171
751,BRA,Country quota for BRA,,177
752,CAN,Country quota for CAN,,177
753,ITA,Country quota for ITA,,177
754,SUI,Country quota for SUI,,177
755,I,Round 1,W,177
756,II,Round 2,W,177
757,III,Round 3,W,177
758,I,Round 1,W,177
759,II,Round 2,W,177
760,R25,Losers are ranked 25th,L,177
761,R17,Losers are ranked 17th,L,177
762,III,Round 3,W,177
763,R13,Losers are ranked 13th,L,177
764,R9,Losers are ranked 9th,L,177
765,IIII,Round 4,W,177
766,R7,Losers are ranked 7th,L,177
767,R5,Losers are ranked 5th,L,177
768,S,Semifinals,S,177
769,F3,Final 3rd Place,F,177
770,F1,Final 1st Place,F,177
771,PN,Pool N,N,178
772,PO,Pool O,O,178
773,PP,Pool P,P,178
774,PQ,Pool Q,Q,178
775,PR,Pool R,R,178
776,PS,Pool S,S,178
777,PT,Pool T,T,178
778,PU,Pool U,U,178
779,PV,Pool V,V,178
780,PW,Pool W,W,178
781,PX,Pool X,X,178
782,PY,Pool Y,Y,178
783,I,Round of 32,W,178
784,II,Round of 16,W,178
785,III,Quarterfinals,W,178
786,SF,Semi-finals,W,178
787,F3,Final 3rd Place,F,178
788,F1,Final 1st Place,F,178
789,I,Round 1,W,179
790,PJ,Pool J,J,179
791,PK,Pool K,K,179
792,PL,Pool L,L,179
793,PM,Pool M,M,179
794,PN,Pool N,N,179
795,PO,Pool O,O,179
796,PP,Pool P,P,179
797,PQ,Pool Q,Q,179
798,I,Round 1,W,179
799,II,Round 2,W,179
800,III,Round 3,W,179
801,S,Semifinals,S,179
802,F3,Final 3rd Place,F,179
803,F1,Final 1st Place,F,179
804,BRA,Country quota for BRA,,180
805,GER,Country quota for GER,,180
806,I,Round 1,W,180
807,II,Round 2,W,180
808,PJ,Pool J,J,180
809,PK,Pool K,K,180
810,PL,Pool L,L,180
811,PM,Pool M,M,180
812,PN,Pool N,N,180
813,PO,Pool O,O,180
814,PP,Pool P,P,180
815,PQ,Pool Q,Q,180
816,I,Round 1,W,180
817,II,Round 2,W,180
818,III,Round 3,W,180
819,S,Semifinals,S,180
820,F3,Final 3rd Place,F,180
821,F1,Final 1st Place,F,180
822,BRA,Country quota for BRA,,181
823,GER,Country quota for GER,,181
824,I,Round 1,W,181
825,II,Round 2,W,181
826,PJ,Pool J,J,181
827,PK,Pool K,K,181
828,PL,Pool L,L,181
829,PM,Pool M,M,181
830,PN,Pool N,N,181
831,PO,Pool O,O,181
832,PP,Pool P,P,181
833,PQ,Pool Q,Q,181
834,I,Round 1,W,181
835,II,Round 2,W,181
836,III,Round 3,W,181
837,S,Semifinals,S,181
838,F3,Final 3rd Place,F,181
839,F1,Final 1st Place,F,181
840,BRA,Country quota for BRA,,184
841,I,Round 1,W,184
842,II,Round 2,W,184
843,R25,Losers are ranked 25th,L,184
844,R17,Losers are ranked 17th,L,184
845,III,Round 3,W,184
846,R13,Losers are ranked 13th,L,184
847,R9,Losers are ranked 9th,L,184
848,IIII,Round 4,W,184
849,R7,Losers are ranked 7th,L,184
850,R5,Losers are ranked 5th,L,184
851,S,Semifinals,S,184
852,F3,Final 3rd Place,F,184
853,F1,Final 1st Place,F,184
854,BRA,Country quota for BRA,,188
855,NED,Country quota for NED,,188
856,SUI,Country quota for SUI,,188
857,I,Round 1,W,188
858,II,Round 2,W,188
859,III,Round 3,W,188
860,I,Round 1,W,188
861,II,Round 2,W,188
862,R25,Losers are ranked 25th,L,188
863,R17,Losers are ranked 17th,L,188
864,III,Round 3,W,188
865,R13,Losers are ranked 13th,L,188
866,R9,Losers are ranked 9th,L,188
867,IIII,Round 4,W,188
868,R7,Losers are ranked 7th,L,188
869,R5,Losers are ranked 5th,L,188
870,S,Semifinals,S,188
871,F3,Final 3rd Place,F,188
872,F1,Final 1st Place,F,188
873,NED,Country quota for NED,,189
874,NOR,Country quota for NOR,,189
875,I,Round 1,W,189
876,II,Round 2,W,189
877,III,Round 3,W,189
878,I,Round 1,W,189
879,II,Round 2,W,189
880,R25,Losers are ranked 25th,L,189
881,R17,Losers are ranked 17th,L,189
882,III,Round 3,W,189
883,R13,Losers are ranked 13th,L,189
884,R9,Losers are ranked 9th,L,189
885,IIII,Round 4,W,189
886,R7,Losers are ranked 7th,L,189
887,R5,Losers are ranked 5th,L,189
