no,code,name,bracket,NoTournament_id
59517,R7,Loser are ranked 7th,L,4677
59518,R5,Loser are ranked 5th,L,4677
59519,SF,Semifinals,W,4677
59520,F3,Final 3rd Place,F,4677
59521,F1,Final 1st Place,F,4677
59540,1,Round 1,W,4821
59541,2,Round 2,W,4821
59542,3,Round 3,W,4821
59543,4,Round 4,W,4821
59544,5,Round 5,W,4821
59545,6,Round 6,W,4821
59546,7,Round 7,W,4821
59547,I,Round 1,W,4821
